Age Group,Total jobseeker Registration,Data Upto
up to 18," 2,72,308 ",30/09/2023
18-24," 81,11,811 ",30/09/2023
25-34," 1,84,38,913 ",30/09/2023
35-44," 58,59,906 ",30/09/2023
45-54," 18,66,541 ",30/09/2023
55-64," 4,70,373 ",30/09/2023
65 & Above," 1,16,562 ",30/09/2023
